dataset,figure,panel,algo,x,y,lo,hi
pu0,shower_profile,dr_taken,maskformer,0.0025,0.986781,0.98646,0.98726
pu0,shower_profile,dr_taken,maskformer,0.0075,0.980187,0.979735,0.980788
pu0,shower_profile,dr_taken,maskformer,0.015,0.975843,0.97525,0.976457
pu0,shower_profile,dr_taken,maskformer,0.025,0.968739,0.968032,0.969367
pu0,shower_profile,dr_taken,maskformer,0.04,0.957221,0.956305,0.958024
pu0,shower_profile,dr_taken,maskformer,0.065,0.933593,0.932439,0.934712
pu0,shower_profile,dr_taken,maskformer,0.1,0.901842,0.899836,0.903591
pu0,shower_profile,dr_taken,maskformer,0.16,0.83895,0.836199,0.841968
pu0,shower_profile,dr_taken,maskformer,0.275,0.712018,0.706037,0.718182
pu0,shower_profile,dr,clue,0.0025,0.68887,0.681328,0.695207
pu0,shower_profile,dr,clue,0.0075,0.706437,0.699089,0.713214
pu0,shower_profile,dr,clue,0.015,0.69982,0.693115,0.705217
pu0,shower_profile,dr,clue,0.025,0.665469,0.658903,0.670832
pu0,shower_profile,dr,clue,0.04,0.586689,0.581441,0.591087
pu0,shower_profile,dr,clue,0.065,0.455009,0.449049,0.459577
pu0,shower_profile,dr,clue,0.1,0.366588,0.361358,0.370478
pu0,shower_profile,dr,clue,0.16,0.311643,0.306184,0.31518
pu0,shower_profile,dr,clue,0.275,0.247618,0.241585,0.251688
pu0,shower_profile,dr_taken,clue,0.0025,0.995323,0.995149,0.99548
pu0,shower_profile,dr_taken,clue,0.0075,0.98803,0.987731,0.988317
pu0,shower_profile,dr_taken,clue,0.015,0.974118,0.973494,0.974717
pu0,shower_profile,dr_taken,clue,0.025,0.953293,0.952387,0.954258
pu0,shower_profile,dr_taken,clue,0.04,0.911099,0.909556,0.912894
pu0,shower_profile,dr_taken,clue,0.065,0.835334,0.832498,0.838375
pu0,shower_profile,dr_taken,clue,0.1,0.7769,0.773597,0.780454
pu0,shower_profile,dr_taken,clue,0.16,0.760037,0.756369,0.763457
pu0,shower_profile,dr_taken,clue,0.275,0.763659,0.760051,0.767603
pu0,shower_profile,depth,maskformer,0.5,0.543594,0.537868,0.548851
pu0,shower_profile,depth,maskformer,1.5,0.594812,0.589729,0.599626
pu0,shower_profile,depth,maskformer,2.5,0.630548,0.625691,0.63515
pu0,shower_profile,depth,maskformer,3.5,0.657877,0.652175,0.663535
pu0,shower_profile,depth,maskformer,5,0.677678,0.67177,0.682868
pu0,shower_profile,depth,maskformer,7,0.698344,0.69244,0.703021
pu0,shower_profile,depth,maskformer,10,0.714581,0.709313,0.719038
pu0,shower_profile,depth,maskformer,14,0.728682,0.72296,0.733892
pu0,shower_profile,depth,maskformer,20,0.724809,0.719922,0.729818
pu0,shower_profile,depth,maskformer,30,0.729716,0.724342,0.735747
pu0,shower_profile,depth,maskformer,42,0.732452,0.726485,0.738055
pu0,shower_profile,depth_taken,maskformer,0.5,0.834832,0.832972,0.837614
pu0,shower_profile,depth_taken,maskformer,1.5,0.871383,0.869373,0.873736
pu0,shower_profile,depth_taken,maskformer,2.5,0.894812,0.893092,0.897167
pu0,shower_profile,depth_taken,maskformer,3.5,0.910327,0.908895,0.91194
pu0,shower_profile,depth_taken,maskformer,5,0.920863,0.919556,0.922221
pu0,shower_profile,depth_taken,maskformer,7,0.930746,0.929485,0.932273
pu0,shower_profile,depth_taken,maskformer,10,0.940546,0.939447,0.941633
pu0,shower_profile,depth_taken,maskformer,14,0.947096,0.946215,0.94806
pu0,shower_profile,depth_taken,maskformer,20,0.94912,0.948122,0.950126
pu0,shower_profile,depth_taken,maskformer,30,0.948927,0.94785,0.950097
pu0,shower_profile,depth_taken,maskformer,42,0.945029,0.943745,0.946226
pu0,shower_profile,depth,clue,0.5,0.416955,0.411406,0.422263
pu0,shower_profile,depth,clue,1.5,0.477969,0.472178,0.482809
pu0,shower_profile,depth,clue,2.5,0.517927,0.511711,0.52245
pu0,shower_profile,depth,clue,3.5,0.537556,0.531442,0.541165
pu0,shower_profile,depth,clue,5,0.563908,0.557819,0.56764
pu0,shower_profile,depth,clue,7,0.586338,0.579664,0.591101
pu0,shower_profile,depth,clue,10,0.611588,0.604948,0.616521
pu0,shower_profile,depth,clue,14,0.622736,0.616493,0.627607
pu0,shower_profile,depth,clue,20,0.621402,0.615523,0.626458
pu0,shower_profile,depth,clue,30,0.599598,0.594297,0.604643
pu0,shower_profile,depth,clue,42,0.545592,0.54015,0.552618
pu0,shower_profile,depth_taken,clue,0.5,0.909507,0.908387,0.911132
pu0,shower_profile,depth_taken,clue,1.5,0.935201,0.934213,0.936604
pu0,shower_profile,depth_taken,clue,2.5,0.945797,0.94498,0.946846
pu0,shower_profile,depth_taken,clue,3.5,0.950148,0.949286,0.951139
pu0,shower_profile,depth_taken,clue,5,0.953746,0.953038,0.95462
pu0,shower_profile,depth_taken,clue,7,0.954153,0.953375,0.955121
pu0,shower_profile,depth_taken,clue,10,0.95019,0.949256,0.951206
pu0,shower_profile,depth_taken,clue,14,0.938699,0.937654,0.939956
pu0,shower_profile,depth_taken,clue,20,0.913429,0.911781,0.915074
pu0,shower_profile,depth_taken,clue,30,0.861953,0.85952,0.864722
pu0,shower_profile,depth_taken,clue,42,0.803501,0.80021,0.807258
pu0,jets,efficiency,maskformer,29.5804,0.853974,0.83718,0.869381
pu0,jets,efficiency,maskformer,41.833,0.992714,0.986991,0.996198
pu0,jets,efficiency,maskformer,61.2372,1,0.996203,1
pu0,jets,efficiency,maskformer,90.8295,0.996622,0.988896,0.999417
pu0,jets,efficiency,maskformer,132.665,1,0.986455,1
pu0,jets,efficiency,maskformer,200,1,0.960767,1
pu0,jets,efficiency,maskformer,316.228,1,0.891307,1
pu0,jets,median,maskformer,29.5804,0.987789,0.986169,0.989196
pu0,jets,median,maskformer,41.833,0.981182,0.978609,0.982256
pu0,jets,median,maskformer,61.2372,0.9819,0.979857,0.982906
pu0,jets,median,maskformer,90.8295,0.980145,0.978228,0.98193
pu0,jets,median,maskformer,132.665,0.976738,0.975633,0.979142
pu0,jets,median,maskformer,200,0.97539,0.97388,0.978824
pu0,jets,median,maskformer,316.228,0.974547,0.968317,0.982246
pu0,jets,resolution,maskformer,29.5804,0.0362301,0.0350239,0.0382607
pu0,jets,resolution,maskformer,41.833,0.0351114,0.033121,0.0365487
pu0,jets,resolution,maskformer,61.2372,0.0282443,0.0269802,0.0292489
pu0,jets,resolution,maskformer,90.8295,0.0226116,0.0209844,0.0257165
pu0,jets,resolution,maskformer,132.665,0.0251776,0.0222795,0.0272643
pu0,jets,resolution,maskformer,200,0.0145946,0.0114773,0.0172237
pu0,jets,resolution,maskformer,316.228,0.0246328,0.015025,0.0283629
pu0,jets,efficiency,clue,29.5804,0.876155,0.860332,0.890499
pu0,jets,efficiency,clue,41.833,1,0.996652,1
pu0,jets,efficiency,clue,61.2372,1,0.996203,1
pu0,jets,efficiency,clue,90.8295,1,0.9938,1
pu0,jets,efficiency,clue,132.665,1,0.986455,1
pu0,jets,efficiency,clue,200,1,0.960767,1
pu0,jets,efficiency,clue,316.228,1,0.891307,1
pu0,jets,median,clue,29.5804,0.981778,0.979237,0.984169
pu0,jets,median,clue,41.833,0.981003,0.979148,0.982536
pu0,jets,median,clue,61.2372,0.98855,0.987917,0.989407
pu0,jets,median,clue,90.8295,0.990557,0.989555,0.991245
pu0,jets,median,clue,132.665,0.991124,0.990208,0.992101
pu0,jets,median,clue,200,0.993731,0.991977,0.995129
pu0,jets,median,clue,316.228,0.99699,0.991174,0.999376
pu0,jets,resolution,clue,29.5804,0.0358099,0.0332114,0.038717
pu0,jets,resolution,clue,41.833,0.0304691,0.0292023,0.0331956
pu0,jets,resolution,clue,61.2372,0.0228651,0.0217918,0.0250632
pu0,jets,resolution,clue,90.8295,0.0159211,0.0148471,0.0175883
pu0,jets,resolution,clue,132.665,0.017181,0.014767,0.0189605
pu0,jets,resolution,clue,200,0.00882787,0.00681463,0.0114528
pu0,jets,resolution,clue,316.228,0.0128297,0.00911336,0.0152419
